speno_yr,age_class,sex,data_source,daily_prop_ho,peak_ho_hr,doy,year,lat,lon,daylength,iceconc,air2m,rolling_temp,atdd,CM_index,EM_index
PH2005_5998_2005,Adult,Female,NOAA,29.58333333,-0.258381451,161,2005,70.825,-158.351,24,0.809999982,-0.270361328,-0.3002686,2,24,24
PH2005_5998_2005,Adult,Female,NOAA,16.79166667,-0.269944258,162,2005,70.825,-158.351,24,0.729999984,0.089837646,-0.7671875,2,25,25
PH2005_5998_2005,Adult,Female,NOAA,22.08333333,0.942768684,163,2005,70.825,-158.351,24,0.709999984,-0.853063965,-0.4804749,2,26,26
PH2005_5998_2005,Adult,Female,NOAA,10.41666667,2.721331914,164,2005,70.825,-158.351,24,0.689999985,-0.177862549,-0.2681335,2,27,27
PH2005_5998_2005,Adult,Female,NOAA,33.75,-0.842630418,165,2005,70.825,-158.351,24,0.569999987,0.14486084,-1.152594,2,28,28
PH2005_5998_2005,Adult,Female,NOAA,40,0.491455629,166,2005,70.825,-158.351,24,0,0.064569092,-0.6835999,2,29,29
PH2005_5999_2005,Adult,Female,NOAA,47.30434783,3.009602129,126,2005,70.83,-158.185,20.34874002,0.999999978,-8.337530518,-4.7258667,0,-11,-11
PH2005_5999_2005,Adult,Female,NOAA,NA,NA,127,2005,70.83,-158.185,20.6146451,0.999999978,-4.97901001,-3.2454285,0,-10,-10
PH2005_5999_2005,Adult,Female,NOAA,62.08333333,-2.281799831,128,2005,70.83,-158.185,20.89767336,0.859999981,-5.328375244,-4.2724976,0,-9,-9
PH2005_5999_2005,Adult,Female,NOAA,NA,NA,129,2005,70.83,-158.185,21.20298295,0.839999981,-4.537298584,-5.0495972,0,-8,-8
PH2005_5999_2005,Adult,Female,NOAA,NA,NA,130,2005,70.83,-158.185,21.53881015,0.829999981,-4.223364258,-3.3352417,0,-7,-7
PH2005_5999_2005,Adult,Female,NOAA,NA,NA,131,2005,70.83,-158.185,21.91983186,0.929999979,-4.088232422,-4.2605652,0,-6,-6
PH2005_5999_2005,Adult,Female,NOAA,NA,NA,132,2005,70.83,-158.185,22.37751401,0.809999982,-6.108679199,-3.1449646,0,-5,-5
PH2005_5999_2005,Adult,Female,NOAA,20.41666667,-2.448915107,133,2005,70.83,-158.185,23.0132013,0.869999981,-4.386053467,-0.7264465,0,-4,-4
PH2005_5999_2005,Adult,Female,NOAA,NA,NA,134,2005,70.83,-158.185,24,0.939999979,-3.139685059,-0.8642029,0,-3,-3
PH2005_5999_2005,Adult,Female,NOAA,25.83333333,0.037233691,135,2005,70.83,-158.185,24,0.999999978,-4.205847168,-1.2696289,0,-2,-2
PH2005_5999_2005,Adult,Female,NOAA,NA,NA,136,2005,70.83,-158.185,24,0.929999979,-4.218054199,-2.0565552,0,-1,-1
PH2005_5999_2005,Adult,Female,NOAA,35,-2.24987485,137,2005,70.83,-158.185,24,0.969999978,-4.276190186,-2.7424683,0,0,0
PH2005_5999_2005,Adult,Female,NOAA,24.58333333,-0.644171938,138,2005,70.83,-158.185,24,0.859999981,-2.5199646,-2.3255066,0,1,1
PH2005_5999_2005,Adult,Female,NOAA,16.25,-0.377572895,139,2005,70.83,-158.185,24,0.739999983,-1.523321533,-2.1825317,0,2,2
PH2005_5999_2005,Adult,Female,NOAA,41.79166667,-0.102029039,140,2005,70.83,-158.185,24,0.799999982,-1.293890381,0.1385742,0,3,3
PH2005_5999_2005,Adult,Female,NOAA,38.25,-1.95789581,141,2005,70.83,-158.185,24,0.809999982,-1.816503906,-1.0142578,0,4,4
PH2005_5999_2005,Adult,Female,NOAA,65.125,-1.570650883,142,2005,70.83,-158.185,24,0.739999983,-2.236242676,-0.4916443,0,5,5
PH2005_5999_2005,Adult,Female,NOAA,62.91666667,-1.498801495,143,2005,70.83,-158.185,24,0.779999983,-2.476843262,-0.2028564,0,6,6
PH2005_5999_2005,Adult,Female,NOAA,68.75,0.277071019,144,2005,70.83,-158.185,24,0.719999984,-2.294256592,0.1015869,0,7,7
PH2005_5999_2005,Adult,Female,NOAA,27.5,0.815577815,145,2005,70.83,-158.185,24,0.669999985,-2.299719238,-0.645575,0,8,8
PH2005_5999_2005,Adult,Female,NOAA,66.375,1.020363114,146,2005,70.83,-158.185,24,0.689999985,-1.712988281,-0.962439,0,9,9
PH2005_5999_2005,Adult,Female,NOAA,45,-0.629191195,147,2005,70.83,-158.185,24,0.709999984,-1.537695312,-1.30802,0,10,10
PH2005_5999_2005,Adult,Female,NOAA,85.83333333,-2.438224965,148,2005,70.83,-158.185,24,0.679999985,-0.749456787,-1.5135254,1,11,11
PH2005_5999_2005,Adult,Female,NOAA,27.91666667,-0.579958366,149,2005,70.83,-158.185,24,0.719999984,-0.476293945,-0.8351501,2,12,12
PH2005_5999_2005,Adult,Female,NOAA,36.375,-0.946913841,150,2005,70.83,-158.185,24,0.619999986,0.023461914,-0.8356384,2,13,13
PH2005_5999_2005,Adult,Female,NOAA,45.83333333,-0.662788783,151,2005,70.83,-158.185,24,0.699999984,-1.036199951,-1.0572266,2,14,14
PH2005_5999_2005,Adult,Female,NOAA,56.25,-1.677625021,152,2005,70.83,-158.185,24,0.749999983,-1.392126465,-1.5688843,2,15,15
PH2005_5999_2005,Adult,Female,NOAA,51.66666667,-1.591303946,153,2005,70.83,-158.185,24,0.719999984,-1.72208252,-0.7680115,2,16,16
PH2005_5999_2005,Adult,Female,NOAA,47.41666667,1.8483764,154,2005,70.83,-158.185,24,0.719999984,-0.544775391,-1.4916443,2,17,17
PH2005_5999_2005,Adult,Female,NOAA,77.5,-0.015126187,155,2005,70.83,-158.185,24,0.87999998,-1.022650146,-0.8797363,2,18,18
PH2005_5999_2005,Adult,Female,NOAA,77.91666667,-0.382808883,156,2005,70.83,-158.185,24,0.749999983,-1.077825928,-1.1132874,2,19,19
PH2005_5999_2005,Adult,Female,NOAA,67.5,0.138462787,157,2005,70.83,-158.185,24,0.749999983,-1.143164062,-1.040564,2,20,20
PH2005_5999_2005,Adult,Female,NOAA,68.33333333,-0.134826685,158,2005,70.83,-158.185,24,0.789999982,-1.256384277,-0.623175,2,21,21
PH2005_5999_2005,Adult,Female,NOAA,84.5,0.117227948,159,2005,70.83,-158.185,24,0.709999984,-0.455511475,-0.8551392,2,22,22
